Table No 6,,,,,,,,,,,,,,,
PROVINCE-WISE AREA & PRODUCTION  OF WHEAT CROP IN PAKISTAN,,,,,,,,,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF BARLEY CROP IN PUNJAB,,,,,,,,,,,,,,,
District/,Sheikhu,,Nankana,,,,,,,,,,,,
Year,pura,,Sahib,Lahore,,Kasur,,Okara,,Sahiwal,,Pakpattan,Multan,,Lodhran
2000-01,,0.5,0,,0,,0.8,,0.6,,0.2,0.2,,0.2,0
DISTRICT-WISE AREA & PRODUCTION  OF BARLEY CROP IN PUNJAB,,,,,,,,,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF BARLEY CROP IN PUNJAB,,,,,,,,,,,,,,,
District/,,,,,,,,Bahawal,Rahimyar,Bahawal,,,,,
Year,Khanewal,Vehari,,M. Garh,Layyah,D.G. Khan,Rajanpur,pur,Khan,nagar,,,,,
2000-01,0.7,,0.2,4,9.4,0.2,0.2,0.3,0,2.5,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF BARLEY CROP IN SINDH,,,,,,,,,,,,,,,
DISTRICT-WISE AREA & PRODUCTION  OF BARLEY CROP IN SINDH,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Khairpur,,Ghotki,,Sukkur,,N. Feroze,,Nawabshah,Jacobabad,,Kashmore,,Shikarpur,
2000-01,,0.1,,0.1,,0,,0.2,0,,0,,0,,0.4
DISTRICT-WISE AREA & PRODUCTION  OF BARLEY CROP IN SINDH,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Larkana,,K.S.Kot,,Sanghar,,Thar parkar,,Mirpur khas,Umarkot,,Dadu,,Jamshoro,
2000-01,,0.6,,0,,0,,0,0.2,,0,,0.8,,0
DISTRICT-WISE AREA & PRODUCTION  OF BARLEY CROP IN SINDH,,,,,,,,,,,,,,,
District/,,,,,,,,,,,,,,,
Year,Hyderabad,,Matiari,,Tando Allahyar,T.M.Khan,Badin,,Thatta,,Karachi,,,,
2000-01,,0.1,,0,0,0,,5.5,,8.3,,0,,,
